batch_id,year,province_clean,season,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,starting_wt_kg,price_packinghouse_php_kg,phys_kg_batch,path_kg_batch,loss_phys_batch_pct,loss_path_batch_pct,loss_phys_php,loss_path_php
MB2024-002,2024,Pangasinan,Dry,Carabao,No,,,455.4,84.46,31.43934,21.94632,6.903675889328063,4.819130434782609,2655.3666564,1853.5861871999998
MB2024-003,2024,Pangasinan,Dry,Carabao,Yes,52.5,8.0,360.2,75.94,22.228450000000002,2.37605,6.171141032759579,0.6596474181010551,1688.028493,180.437237
MB2024-004,2024,Pangasinan,Dry,Carabao,No,,,214.6,78.22,17.165660000000003,12.7495,7.998909599254428,5.941053122087605,1342.6979252,997.2658899999999
MB2024-005,2024,Pangasinan,Wet,Carabao,Yes,53.6,10.0,231.3,134.02,13.21967,16.796709999999997,5.715378296584523,7.261872027669691,1771.7001734000003,2251.0950742
MB2024-006,2024,Pangasinan,Wet,Carabao,No,,,237.8,145.27,17.23152,22.37096,7.246223717409587,9.407468460891504,2503.2229104000003,3249.8293592000005
MB2024-007,2024,Pangasinan,Wet,Carabao,Yes,52.3,7.0,252.0,145.41,12.15147,15.709610000000001,4.822011904761904,6.2339722222222225,1766.9452526999999,2284.3343901000003
MB2024-008,2024,Pangasinan,Wet,Carabao,No,,,317.7,131.36,21.28089,27.846359999999997,6.698423040604344,8.76498583569405,2795.4577104,3657.8978496
MB2024-009,2024,Zamboanga del Norte,Dry,Carabao,Yes,53.7,10.0,301.2,84.6,13.356840000000002,7.01062,4.434541832669323,2.327563081009296,1129.988664,593.098452
MB2024-010,2024,Zamboanga del Norte,Dry,Carabao,No,,,322.3,87.3,23.6488,13.051820000000001,7.337511635122556,4.049587340986658,2064.5402400000003,1139.423886
MB2024-011,2024,Zamboanga del Norte,Dry,Carabao,Yes,53.0,6.0,411.3,73.71,22.16617,7.85336,5.389294918550936,1.9093994651106247,1633.8683907,578.8711655999999
MB2024-012,2024,Zamboanga del Norte,Dry,Carabao,No,,,251.1,77.88,18.360049999999998,14.35479,7.31184786937475,5.716762246117084,1429.8806939999997,1117.9510452
MB2024-013,2024,Zamboanga del Norte,Wet,Carabao,Yes,52.7,6.0,235.5,137.99,13.36465,16.88495,5.675010615711253,7.169830148619957,1844.1880535,2329.9542505
MB2024-014,2024,Zamboanga del Norte,Wet,Carabao,No,,,296.5,136.51,21.85705,31.612699999999997,7.371686340640809,10.661956155143336,2983.7058954999998,4315.449677
MB2024-015,2024,Zamboanga del Norte,Wet,Carabao,Yes,55.0,5.0,390.0,131.33,17.88759,24.302639999999997,4.586561538461539,6.231446153846153,2349.1771947,3191.6657112
MB2024-016,2024,Zamboanga del Norte,Wet,Carabao,No,,,351.3,150.15,27.16433,30.88676,7.732516367776829,8.792132080842583,4078.7241495000003,4637.647014
MB2024-017,2024,Cebu,Dry,Carabao,Yes,52.4,9.0,278.5,84.14,12.80911,5.903860000000001,4.599321364452424,2.1198779174147218,1077.7585154,496.75078040000005
MB2024-018,2024,Cebu,Dry,Carabao,No,,,344.0,75.61,26.504720000000002,21.06109,7.70486046511628,6.1224098837209295,2004.0218792000003,1592.4290149
MB2024-019,2024,Cebu,Dry,Carabao,Yes,53.9,5.0,268.7,73.86,11.500589999999999,9.927959999999999,4.280085597320431,3.6948120580573125,849.4335773999999,733.2791255999999
MB2024-020,2024,Cebu,Dry,Carabao,No,,,343.2,78.12,29.510799999999996,19.41555,8.598717948717947,5.657211538461539,2305.383696,1516.742766
MB2024-021,2024,Cebu,Wet,Carabao,Yes,52.2,5.0,338.8,138.46,12.256680000000001,22.0961,3.617674144037781,6.521871310507674,1697.0599128000003,3059.426006
MB2024-022,2024,Cebu,Wet,Carabao,No,,,226.4,145.54,16.99096,23.247500000000002,7.504840989399293,10.26833038869258,2472.8643184000002,3383.44115
MB2024-023,2024,Cebu,Wet,Carabao,Yes,53.5,5.0,262.4,141.21,14.86004,14.7026,5.663125,5.603125,2098.3862484,2076.1541460000003
MB2024-024,2024,Cebu,Wet,Carabao,No,,,253.0,142.76,20.603440000000003,25.951860000000003,8.143652173913045,10.257652173913046,2941.3470944,3704.8875336
