observation_id,batch_id,date,season,chain_node,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,dwell_time_hrs,starting_wt_kg,ending_wt_kg,loss_physiological_pct,loss_pathological_pct,ambient_temp_c,ambient_rh_pct,price_php_per_kg,year,wt_corrected,province_clean,rh_estimated,phys_kg,path_kg
1015,MB2023-008,2023-09-23,Wet,packinghouse,Carabao,No,,,17.4,272.0,250.0,3.45,4.64,29.4,81.6,131.57,2023,False,Pangasinan,False,9.384,12.6208
1016,MB2023-008,2023-09-24,Wet,transport,Carabao,No,,,25.3,250.0,226.7,3.88,5.44,28.9,77.2,127.68,2023,False,Pangasinan,False,9.700000000000001,13.600000000000001
1017,MB2023-009,2023-03-01,Dry,packinghouse,Carabao,No,,,6.2,240.9,227.9,3.4,2.0,29.8,82.6,73.08,2023,False,Zamboanga del Norte,False,8.190600000000002,4.8180000000000005
1018,MB2023-009,2023-03-02,Dry,transport,Carabao,No,,,5.0,227.9,211.8,4.06,3.0,30.6,74.7,73.56,2023,False,Zamboanga del Norte,False,9.25274,6.837
1019,MB2023-010,2023-04-26,Dry,packinghouse,Carabao,Yes,52.6,7.0,5.9,445.2,431.8,2.12,0.88,32.6,84.4,72.61,2023,False,Zamboanga del Norte,False,9.43824,3.9177600000000004
1020,MB2023-010,2023-04-27,Dry,transport,Carabao,Yes,52.6,7.0,21.7,431.8,421.0,2.26,0.23,33.3,70.6,72.8,2023,False,Zamboanga del Norte,False,9.75868,0.99314
1021,MB2023-011,2023-04-13,Dry,packinghouse,Carabao,No,,,19.1,340.1,317.1,3.95,2.8,29.9,76.8,73.75,2023,False,Zamboanga del Norte,False,13.433950000000001,9.5228
1022,MB2023-011,2023-04-14,Dry,transport,Carabao,No,,,23.4,317.1,291.7,3.59,4.42,30.5,68.6,72.81,2023,False,Zamboanga del Norte,False,11.383890000000001,14.01582
1023,MB2023-012,2023-04-15,Dry,packinghouse,Carabao,No,,,28.7,336.1,312.2,3.75,3.37,31.4,77.6,76.43,2023,False,Zamboanga del Norte,False,12.60375,11.32657
1024,MB2023-012,2023-04-16,Dry,transport,Carabao,No,,,16.8,312.2,296.9,3.26,1.64,32.8,77.3,73.37,2023,False,Zamboanga del Norte,False,10.177719999999999,5.120079999999999
1025,MB2023-013,2023-07-10,Wet,packinghouse,Carabao,No,,,18.6,261.4,239.9,2.94,5.27,32.4,87.2,134.99,2023,False,Zamboanga del Norte,False,7.685159999999999,13.775779999999997
1026,MB2023-013,2023-07-11,Wet,transport,Carabao,No,,,26.9,239.9,217.0,3.92,5.63,28.9,81.5,137.38,2023,False,Zamboanga del Norte,False,9.40408,13.506369999999999
1027,MB2023-014,2023-09-20,Wet,packinghouse,Carabao,No,,,28.8,289.4,262.9,3.32,5.85,28.0,68.8,137.4,2023,False,Zamboanga del Norte,False,9.60808,16.929899999999996
1028,MB2023-014,2023-09-21,Wet,transport,Carabao,No,,,19.4,262.9,237.1,4.13,5.67,31.7,87.8,138.67,2023,False,Zamboanga del Norte,False,10.857769999999999,14.906429999999999
1029,MB2023-015,2023-07-18,Wet,packinghouse,Carabao,No,,,13.7,441.1,402.9,3.88,4.78,29.8,77.6,132.87,2023,True,Zamboanga del Norte,False,17.11468,21.084580000000003
1030,MB2023-015,2023-07-19,Wet,transport,Carabao,No,,,5.0,402.9,372.6,3.64,3.89,28.0,84.3,132.6,2023,False,Zamboanga del Norte,False,14.66556,15.67281
1031,MB2023-016,2023-07-19,Wet,packinghouse,Carabao,No,,,11.8,458.0,415.0,3.66,5.72,31.1,84.3,133.82,2023,False,Zamboanga del Norte,False,16.7628,26.1976
1032,MB2023-016,2023-07-20,Wet,transport,Carabao,No,,,28.1,415.0,378.8,4.68,4.05,32.2,78.9,132.98,2023,False,Zamboanga del Norte,True,19.421999999999997,16.8075
1033,MB2023-017,2023-03-07,Dry,packinghouse,Carabao,No,,,8.4,341.0,321.6,3.5,2.2,30.7,70.9,72.12,2023,False,Cebu,False,11.935,7.502000000000001
1034,MB2023-017,2023-03-08,Dry,transport,Carabao,No,,,4.4,321.6,303.8,3.36,2.17,28.8,74.6,72.84,2023,False,Cebu,False,10.80576,6.978720000000001
1035,MB2023-018,2023-04-13,Dry,packinghouse,Carabao,No,,,8.3,414.0,390.4,3.12,2.59,31.7,76.4,74.02,2023,False,Cebu,False,12.9168,10.7226
1036,MB2023-018,2023-04-14,Dry,transport,Carabao,No,,,21.5,390.4,368.1,2.99,2.72,32.3,81.2,72.14,2023,False,Cebu,False,11.67296,10.61888
1037,MB2023-019,2023-01-19,Dry,packinghouse,Carabao,No,,,6.6,269.4,248.3,4.76,3.08,33.2,72.1,74.85,2023,False,Cebu,False,12.823439999999998,8.29752
1038,MB2023-019,2023-01-20,Dry,transport,Carabao,No,,,7.0,248.3,230.1,4.01,3.3,31.4,79.1,75.72,2023,False,Cebu,False,9.95683,8.193900000000001
1039,MB2023-020,2023-01-16,Dry,packinghouse,Carabao,No,,,18.8,277.3,255.6,4.21,3.6,33.4,83.5,80.33,2023,False,Cebu,False,11.67433,9.982800000000001
1040,MB2023-020,2023-01-17,Dry,transport,Carabao,No,,,25.1,255.6,240.5,3.74,2.18,28.3,74.6,77.63,2023,False,Cebu,False,9.55944,5.57208
1041,MB2023-021,2023-09-10,Wet,packinghouse,Carabao,No,,,7.1,414.1,379.4,3.57,4.8,29.0,80.5,136.25,2023,False,Cebu,False,14.78337,19.876800000000003
1042,MB2023-021,2023-09-11,Wet,transport,Carabao,No,,,16.0,379.4,350.4,3.45,4.19,31.6,85.3,133.69,2023,False,Cebu,False,13.0893,15.896860000000002
1043,MB2023-022,2023-07-05,Wet,packinghouse,Carabao,No,,,11.5,368.9,337.0,4.0,4.64,30.4,86.9,127.62,2023,False,Cebu,False,14.756,17.11696
1044,MB2023-022,2023-07-06,Wet,transport,Carabao,No,,,27.6,337.0,308.0,4.01,4.6,29.8,78.8,126.71,2023,False,Cebu,False,13.513699999999998,15.501999999999999
1045,MB2023-023,2023-08-11,Wet,packinghouse,Carabao,No,,,14.5,205.5,187.6,3.99,4.74,29.5,78.5,139.55,2023,False,Cebu,False,8.19945,9.7407
1046,MB2023-023,2023-08-12,Wet,transport,Carabao,No,,,11.0,187.6,172.8,2.92,4.98,33.4,80.0,138.57,2023,False,Cebu,False,5.47792,9.34248
1047,MB2023-024,2023-08-11,Wet,packinghouse,Carabao,Yes,53.9,10.0,9.4,287.8,274.0,2.05,2.75,32.3,68.2,135.97,2023,False,Cebu,False,5.8999,7.9145
1048,MB2023-024,2023-08-12,Wet,transport,Carabao,Yes,53.9,10.0,23.1,274.0,255.5,2.81,3.94,29.0,74.1,134.68,2023,False,Cebu,False,7.6994,10.795599999999999
2001,MB2024-001,2024-03-06,Dry,packinghouse,Carabao,Yes,54.6,6.0,27.8,264.7,254.9,2.67,1.02,28.2,68.0,83.55,2024,False,Pangasinan,False,7.067489999999999,2.6999400000000002
2002,MB2024-001,2024-03-07,Dry,transport,Carabao,Yes,54.6,6.0,23.5,254.9,245.9,2.21,1.31,31.0,69.7,83.31,2024,False,Pangasinan,False,5.63329,3.3391900000000003
2003,MB2024-002,2024-12-24,Dry,packinghouse,Carabao,No,,,20.8,455.4,433.8,2.76,1.99,32.9,73.8,84.46,2024,False,Pangasinan,False,12.56904,9.06246
2004,MB2024-002,2024-12-25,Dry,transport,Carabao,No,,,14.4,433.8,402.0,4.35,2.97,32.2,80.7,86.43,2024,False,Pangasinan,False,18.8703,12.88386
2005,MB2024-003,2024-04-08,Dry,packinghouse,Carabao,Yes,52.5,8.0,29.7,360.2,348.9,2.81,0.34,32.7,84.4,75.94,2024,False,Pangasinan,False,10.12162,1.22468
2006,MB2024-003,2024-04-09,Dry,transport,Carabao,Yes,52.5,8.0,23.0,348.9,335.6,3.47,0.33,31.8,82.4,78.01,2024,False,Pangasinan,False,12.10683,1.15137
2007,MB2024-004,2024-01-21,Dry,packinghouse,Carabao,No,,,27.7,214.6,200.2,4.23,2.48,31.5,74.9,78.22,2024,False,Pangasinan,False,9.077580000000001,5.32208
2008,MB2024-004,2024-01-22,Dry,transport,Carabao,No,,,27.3,200.2,184.7,4.04,3.71,30.3,71.5,80.45,2024,False,Pangasinan,False,8.08808,7.42742
2009,MB2024-005,2024-09-13,Wet,packinghouse,Carabao,Yes,53.6,10.0,15.0,231.3,217.7,2.6,3.29,30.1,87.5,134.02,2024,False,Pangasinan,False,6.013800000000001,7.60977
2010,MB2024-005,2024-09-14,Wet,transport,Carabao,Yes,53.6,10.0,14.7,217.7,201.3,3.31,4.22,27.5,80.8,133.7,2024,False,Pangasinan,False,7.205869999999999,9.186939999999998
2011,MB2024-006,2024-10-17,Wet,packinghouse,Carabao,No,,,9.4,237.8,216.0,3.84,5.32,32.6,86.7,145.27,2024,False,Pangasinan,False,9.13152,12.650960000000001
2012,MB2024-006,2024-10-18,Wet,transport,Carabao,No,,,9.2,216.0,198.2,3.75,4.5,32.7,74.1,143.96,2024,False,Pangasinan,False,8.1,9.719999999999999
2013,MB2024-007,2024-08-07,Wet,packinghouse,Carabao,Yes,52.3,7.0,9.7,252.0,238.3,1.9,3.52,33.5,77.9,145.41,2024,False,Pangasinan,False,4.788,8.8704
2014,MB2024-007,2024-08-08,Wet,transport,Carabao,Yes,52.3,7.0,20.6,238.3,224.1,3.09,2.87,30.3,78.9,147.03,2024,False,Pangasinan,True,7.3634699999999995,6.8392100000000005
2015,MB2024-008,2024-07-08,Wet,packinghouse,Carabao,No,,,10.8,317.7,288.6,3.41,5.74,31.1,82.2,131.36,2024,False,Pangasinan,False,10.83357,18.235979999999998
2016,MB2024-008,2024-07-09,Wet,transport,Carabao,No,,,15.6,288.6,268.5,3.62,3.33,31.2,75.1,129.89,2024,False,Pangasinan,False,10.447320000000001,9.610380000000001
2017,MB2024-009,2024-01-09,Dry,packinghouse,Carabao,Yes,53.7,10.0,28.9,301.2,290.6,2.64,0.89,33.1,80.8,84.6,2024,False,Zamboanga del Norte,False,7.95168,2.6806799999999997
2018,MB2024-009,2024-01-10,Dry,transport,Carabao,Yes,53.7,10.0,27.3,290.6,280.9,1.86,1.49,29.1,74.4,84.68,2024,False,Zamboanga del Norte,False,5.405160000000001,4.329940000000001
2019,MB2024-010,2024-12-07,Dry,packinghouse,Carabao,No,,,12.3,322.3,302.6,3.92,2.2,30.0,84.7,87.3,2024,False,Zamboanga del Norte,False,12.63416,7.090600000000001
2020,MB2024-010,2024-12-08,Dry,transport,Carabao,No,,,26.3,302.6,285.6,3.64,1.97,33.1,87.8,86.03,2024,False,Zamboanga del Norte,False,11.014640000000002,5.96122
2021,MB2024-011,2024-03-07,Dry,packinghouse,Carabao,Yes,53.0,6.0,9.4,411.3,389.5,3.59,1.72,30.4,73.4,73.71,2024,True,Zamboanga del Norte,False,14.765670000000002,7.07436
2022,MB2024-011,2024-03-08,Dry,transport,Carabao,Yes,53.0,6.0,19.5,389.5,381.3,1.9,0.2,31.1,79.4,74.43,2024,False,Zamboanga del Norte,False,7.4005,0.779
2023,MB2024-012,2024-03-10,Dry,packinghouse,Carabao,No,,,26.6,251.1,232.7,4.3,3.02,30.2,70.0,77.88,2024,False,Zamboanga del Norte,False,10.797299999999998,7.58322
2024,MB2024-012,2024-03-11,Dry,transport,Carabao,No,,,24.4,232.7,218.4,3.25,2.91,29.6,85.0,77.67,2024,False,Zamboanga del Norte,False,7.56275,6.77157
2025,MB2024-013,2024-06-24,Wet,packinghouse,Carabao,Yes,52.7,6.0,25.8,235.5,221.5,2.59,3.37,30.4,73.7,137.99,2024,False,Zamboanga del Norte,False,6.09945,7.93635
2026,MB2024-013,2024-06-25,Wet,transport,Carabao,Yes,52.7,6.0,21.9,221.5,205.3,3.28,4.04,31.5,76.7,137.6,2024,False,Zamboanga del Norte,False,7.265199999999999,8.948599999999999
2027,MB2024-014,2024-07-26,Wet,packinghouse,Carabao,No,,,7.7,296.5,264.5,4.41,6.38,30.7,85.6,136.51,2024,False,Zamboanga del Norte,False,13.07565,18.9167
2028,MB2024-014,2024-07-27,Wet,transport,Carabao,No,,,27.8,264.5,243.0,3.32,4.8,33.0,69.3,139.13,2024,False,Zamboanga del Norte,False,8.7814,12.696
2029,MB2024-015,2024-06-02,Wet,packinghouse,Carabao,Yes,55.0,5.0,13.7,390.0,365.1,2.63,3.76,28.6,79.6,131.33,2024,False,Zamboanga del Norte,False,10.257,14.663999999999998
2030,MB2024-015,2024-06-03,Wet,transport,Carabao,Yes,55.0,5.0,25.8,365.1,347.8,2.09,2.64,33.2,73.7,132.87,2024,False,Zamboanga del Norte,False,7.63059,9.63864
2031,MB2024-016,2024-09-10,Wet,packinghouse,Carabao,No,,,20.6,351.3,319.6,4.33,4.68,27.9,86.6,150.15,2024,False,Zamboanga del Norte,False,15.21129,16.440839999999998
2032,MB2024-016,2024-09-11,Wet,transport,Carabao,No,,,14.1,319.6,293.2,3.74,4.52,31.9,82.3,148.35,2024,False,Zamboanga del Norte,False,11.953040000000001,14.445920000000001
2033,MB2024-017,2024-02-24,Dry,packinghouse,Carabao,Yes,52.4,9.0,24.6,278.5,271.1,2.01,0.65,31.2,79.5,84.14,2024,False,Cebu,False,5.597849999999999,1.8102500000000001
2034,MB2024-017,2024-02-25,Dry,transport,Carabao,Yes,52.4,9.0,19.7,271.1,259.8,2.66,1.51,30.8,82.8,84.83,2024,False,Cebu,False,7.211260000000001,4.093610000000001
2035,MB2024-018,2024-03-22,Dry,packinghouse,Carabao,No,,,5.2,344.0,318.1,4.08,3.45,31.8,83.2,75.61,2024,False,Cebu,False,14.035200000000001,11.868
2036,MB2024-018,2024-03-23,Dry,transport,Carabao,No,,,15.4,318.1,296.4,3.92,2.89,28.1,79.1,77.04,2024,False,Cebu,False,12.469520000000001,9.193090000000002
2037,MB2024-019,2024-02-11,Dry,packinghouse,Carabao,Yes,53.9,5.0,26.2,268.7,257.8,2.39,1.68,32.8,85.6,73.86,2024,False,Cebu,False,6.42193,4.5141599999999995
2038,MB2024-019,2024-02-12,Dry,transport,Carabao,Yes,53.9,5.0,27.0,257.8,247.3,1.97,2.1,33.3,86.4,73.76,2024,False,Cebu,False,5.07866,5.4138
2039,MB2024-020,2024-01-19,Dry,packinghouse,Carabao,No,,,15.3,343.2,315.7,5.14,2.87,29.6,78.9,78.12,2024,False,Cebu,True,17.640479999999997,9.84984
2040,MB2024-020,2024-01-20,Dry,transport,Carabao,No,,,4.8,315.7,294.3,3.76,3.03,29.0,82.2,78.76,2024,False,Cebu,False,11.870319999999998,9.56571
2041,MB2024-021,2024-10-26,Wet,packinghouse,Carabao,Yes,52.2,5.0,23.2,338.8,321.8,1.87,3.15,32.9,72.9,138.46,2024,False,Cebu,False,6.335560000000001,10.6722
2042,MB2024-021,2024-10-27,Wet,transport,Carabao,Yes,52.2,5.0,22.2,321.8,304.5,1.84,3.55,28.5,78.0,140.86,2024,False,Cebu,False,5.92112,11.4239
2043,MB2024-022,2024-09-25,Wet,packinghouse,Carabao,No,,,28.5,226.4,203.0,3.99,6.35,28.2,86.5,145.54,2024,False,Cebu,False,9.033360000000002,14.3764
2044,MB2024-022,2024-09-26,Wet,transport,Carabao,No,,,20.5,203.0,186.2,3.92,4.37,30.1,84.6,144.61,2024,False,Cebu,False,7.957599999999999,8.8711
2045,MB2024-023,2024-08-12,Wet,packinghouse,Carabao,Yes,53.5,5.0,13.3,262.4,246.0,2.86,3.4,29.3,80.6,141.21,2024,False,Cebu,False,7.504639999999999,8.9216
2046,MB2024-023,2024-08-13,Wet,transport,Carabao,Yes,53.5,5.0,11.4,246.0,232.9,2.99,2.35,30.9,78.9,137.52,2024,False,Cebu,True,7.3554,5.781
2047,MB2024-024,2024-09-03,Wet,packinghouse,Carabao,No,,,23.0,253.0,226.6,4.57,5.86,30.8,78.4,142.76,2024,False,Cebu,False,11.562100000000001,14.825800000000001
2048,MB2024-024,2024-09-04,Wet,transport,Carabao,No,,,11.1,226.6,206.4,3.99,4.91,30.9,70.6,140.7,2024,False,Cebu,False,9.041340000000002,11.12606
