observation_id,batch_id,date,province,season,chain_node,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,dwell_time_hrs,starting_wt_kg,ending_wt_kg,loss_physiological_pct,loss_pathological_pct,ambient_temp_c,ambient_rh_pct,price_php_per_kg
2022,MB2024-011,2024-03-08,Zamboanga del Norte,Dry,transport,Carabao,Yes,53.0,6,19.5,389.5,381.3,1.9,0.2,31.1,79.4,74.43
2023,MB2024-012,2024-03-10,Zamboanga del Norte,Dry,packinghouse,Carabao,No,,,26.6,251.1,232.7,4.3,3.02,30.2,70.0,77.88
2024,MB2024-012,2024-03-11,Zamboanga del Norte,Dry,transport,Carabao,No,,,24.4,232.7,218.4,3.25,2.91,29.6,85.0,77.67
2025,MB2024-013,2024-06-24,Zamboanga Del norte,Wet,packinghouse,Carabao,Yes,52.7,6,25.8,235.5,221.5,2.59,3.37,30.4,73.7,137.99
2026,MB2024-013,2024-06-25,Zamboanga del Norte,Wet,transport,Carabao,Yes,52.7,6,21.9,221.5,205.3,3.28,4.04,31.5,76.7,137.6
2027,MB2024-014,2024-07-26,Zamboanga del Norte,Wet,packinghouse,Carabao,No,,,7.7,296.5,264.5,4.41,6.38,30.7,85.6,136.51
2028,MB2024-014,2024-07-27,Zamboanga del Norte,Wet,transport,Carabao,No,,,27.8,264.5,243.0,3.32,4.8,33.0,69.3,139.13
2029,MB2024-015,2024-06-02,Zamboanga del Norte,Wet,packinghouse,Carabao,Yes,55.0,5,13.7,390.0,365.1,2.63,3.76,28.6,79.6,131.33
2030,MB2024-015,2024-06-03,ZAMBOANGA DEL NORTE,Wet,transport,Carabao,Yes,55.0,5,25.8,365.1,347.8,2.09,2.64,33.2,73.7,132.87
2031,MB2024-016,2024-09-10,Zamboanga del Norte,Wet,packinghouse,Carabao,No,,,20.6,351.3,319.6,4.33,4.68,27.9,86.6,150.15
2032,MB2024-016,2024-09-11,Zamboanga del Norte,Wet,transport,Carabao,No,,,14.1,319.6,293.2,3.74,4.52,31.9,82.3,148.35
2033,MB2024-017,2024-02-24,cebu ,Dry,packinghouse,Carabao,Yes,52.4,9,24.6,278.5,271.1,2.01,0.65,31.2,79.5,84.14
2034,MB2024-017,2024-02-25,Cebu,Dry,transport,Carabao,Yes,52.4,9,19.7,271.1,259.8,2.66,1.51,30.8,82.8,84.83
2035,MB2024-018,2024-03-22,Cebu,Dry,packinghouse,Carabao,No,,,5.2,344.0,318.1,4.08,3.45,31.8,83.2,75.61
2036,MB2024-018,2024-03-23,Cebu,Dry,transport,Carabao,No,,,15.4,318.1,296.4,3.92,2.89,28.1,79.1,77.04
2036,MB2024-018,2024-03-23,Cebu,Dry,transport,Carabao,No,,,15.4,318.1,296.4,3.92,2.89,28.1,79.1,77.04
2037,MB2024-019,2024-02-11,Cebu,Dry,packinghouse,Carabao,Yes,53.9,5,26.2,268.7,257.8,2.39,1.68,32.8,85.6,73.86
2038,MB2024-019,2024-02-12,cebu,Dry,transport,Carabao,Yes,53.9,5,27.0,257.8,247.3,1.97,2.1,33.3,86.4,73.76
2039,MB2024-020,2024-01-19,Cebu,Dry,packinghouse,Carabao,No,,,15.3,343.2,315.7,5.14,2.87,29.6,,78.12
2040,MB2024-020,2024-01-20,Cebu,Dry,transport,Carabao,No,,,4.8,315.7,294.3,3.76,3.03,29.0,82.2,78.76
2041,MB2024-021,2024-10-26,Cebu,Wet,packinghouse,Carabao,Yes,52.2,5,23.2,338.8,321.8,1.87,3.15,32.9,72.9,138.46
2042,MB2024-021,2024-10-27,Cebu,Wet,transport,Carabao,Yes,52.2,5,22.2,321.8,304.5,1.84,3.55,28.5,78.0,140.86
2043,MB2024-022,2024-09-25, Cebu,Wet,packinghouse,Carabao,No,,,28.5,226.4,203.0,3.99,6.35,28.2,86.5,145.54
2044,MB2024-022,2024-09-26,Cebu,Wet,transport,Carabao,No,,,20.5,203.0,186.2,3.92,4.37,30.1,84.6,144.61
2045,MB2024-023,2024-08-12,Cebu,Wet,packinghouse,Carabao,Yes,53.5,5,13.3,262.4,246.0,2.86,3.4,29.3,80.6,141.21
2046,MB2024-023,2024-08-13,Cebu,Wet,transport,Carabao,Yes,53.5,5,11.4,246.0,232.9,2.99,2.35,30.9,,137.52
2047,MB2024-024,2024-09-03,CEBU,Wet,packinghouse,Carabao,No,,,23.0,253.0,226.6,4.57,5.86,30.8,78.4,142.76
2048,MB2024-024,2024-09-04,Cebu,Wet,transport,Carabao,No,,,11.1,226.6,206.4,3.99,4.91,30.9,70.6,140.7
